filename,width,height,class,xmin,ymin,xmax,ymax
1493026.jpg,1280,720,leaf_rust,1,32,1279,311
1493026.jpg,1280,720,leaf_rust,1,349,1279,633
1573112.jpg,1280,720,leaf_rust,1,136,1280,579
1573114.jpg,1280,720,leaf_rust,261,177,853,610
5154036.jpg,1280,720,leaf_rust,1,181,1280,596
5187012.jpg,1280,720,leaf_rust,448,351,828,446
5187012.jpg,1280,720,leaf_rust,404,533,640,669
5187012.jpg,1280,720,leaf_rust,544,5,703,207
5187012.jpg,1280,720,leaf_rust,390,167,440,433
5187012.jpg,1280,720,leaf_rust,188,126,239,276
5187012.jpg,1280,720,leaf_rust,908,428,1224,515
5187019.jpg,1280,720,leaf_rust,779,229,876,396
5187019.jpg,1280,720,leaf_rust,453,372,655,430
5187019.jpg,1280,720,leaf_rust,420,453,624,523
5187019.jpg,1280,720,leaf_rust,691,470,882,558
5187019.jpg,1280,720,leaf_rust,1132,344,1280,407
5187019.jpg,1280,720,leaf_rust,1168,184,1263,327
5187019.jpg,1280,720,leaf_rust,391,214,456,363
5187019.jpg,1280,720,leaf_rust,388,222,457,431
5187019.jpg,1280,720,leaf_rust,600,456,885,548
5187019.jpg,1280,720,leaf_rust,267,420,615,522
5187019.jpg,1280,720,leaf_rust,729,179,874,394
5187019.jpg,1280,720,leaf_rust,984,342,1278,406
5187019.jpg,1280,720,leaf_rust,479,377,651,433
5410641.jpg,1280,720,leaf_rust,571,2,777,689
5436496.jpg,1280,720,leaf_rust,31,67,279,230
5436496.jpg,1280,720,leaf_rust,207,267,555,555
5436496.jpg,1280,720,leaf_rust,332,89,424,270
5436498.jpg,1280,720,leaf_rust,70,76,208,474
5436498.jpg,1280,720,leaf_rust,260,386,705,558
5436498.jpg,1280,720,leaf_rust,533,28,921,353
5436498.jpg,1280,720,leaf_rust,659,486,956,714
5436499.jpg,1280,720,leaf_rust,802,485,928,567
5436499.jpg,1280,720,leaf_rust,855,621,959,692
5436499.jpg,1280,720,leaf_rust,287,402,466,507
5436499.jpg,1280,720,leaf_rust,579,576,632,720
5436499.jpg,1280,720,leaf_rust,431,529,645,645
5436500.jpg,1280,720,leaf_rust,344,4,982,509
5436500.jpg,1280,720,leaf_rust,28,346,604,719
5436501.jpg,1280,720,leaf_rust,262,246,800,630
5436501.jpg,1280,720,leaf_rust,1080,161,1243,548
5436501.jpg,1280,720,leaf_rust,594,1,906,284
5505405.jpg,1280,720,leaf_rust,117,226,1215,290
5505405.jpg,1280,720,leaf_rust,2,333,1244,395
5505415.jpg,1280,720,leaf_rust,1,2,1280,686
5507041.jpg,1280,720,leaf_rust,334,154,799,536
5507062.jpg,1280,720,leaf_rust,283,35,1065,605
5507063.jpg,1280,720,leaf_rust,177,258,981,700
5536433.jpg,1280,720,leaf_rust,558,1,994,716
5536434.jpg,1280,720,leaf_rust,315,383,707,546
5536434.jpg,1280,720,leaf_rust,76,60,204,457
5536434.jpg,1280,720,leaf_rust,179,84,276,274
5536434.jpg,1280,720,leaf_rust,525,18,915,336
5536434.jpg,1280,720,leaf_rust,639,486,954,720
5536435.jpg,1280,720,leaf_rust,723,274,880,574
5536435.jpg,1280,720,leaf_rust,11,41,331,259
5536437.jpg,1280,720,leaf_rust,356,391,692,575
5536437.jpg,1280,720,leaf_rust,325,284,509,480
5536437.jpg,1280,720,leaf_rust,69,42,197,538
5536437.jpg,1280,720,leaf_rust,498,9,919,361
5536437.jpg,1280,720,leaf_rust,637,500,946,720
5536515.jpg,1280,720,leaf_rust,90,1,614,720
5536515.jpg,1280,720,leaf_rust,572,3,909,720
5558475.jpg,1280,720,leaf_rust,1,276,879,407
5558475.jpg,1280,720,leaf_rust,389,1,896,279
5558476.jpg,1280,720,leaf_rust,1,201,953,413
5558476.jpg,1280,720,leaf_rust,1119,1,1279,39
5558476.jpg,1280,720,leaf_rust,944,175,1122,319
