filename,width,height,class,xmin,ymin,xmax,ymax
5536577.jpg,1280,720,tan_spot,456,2,763,720
5536577.jpg,1280,720,tan_spot,748,2,951,720
5394464.jpg,1280,720,tan_spot,1,1,1278,682
5437627.jpg,1280,720,tan_spot,581,2,833,622
5437628.jpg,1280,720,tan_spot,343,59,442,720
5437628.jpg,1280,720,tan_spot,63,145,348,624
5437628.jpg,1280,720,tan_spot,2,54,87,153
5437630.jpg,1280,720,tan_spot,610,1,953,697
5437630.jpg,1280,720,tan_spot,488,12,625,649
5437631.jpg,1280,720,tan_spot,573,3,947,720
5505423.jpg,1280,720,tan_spot,1,222,1278,478
5536441.jpg,1280,720,tan_spot,490,1,1199,682
5536443.jpg,1280,720,tan_spot,979,1,1132,683
5536443.jpg,1280,720,tan_spot,33,232,640,720
5536444.jpg,1280,720,tan_spot,279,3,1023,720
5536578.jpg,1280,720,tan_spot,1,184,641,535
5536578.jpg,1280,720,tan_spot,254,58,945,579
5536578.jpg,1280,720,tan_spot,876,2,1265,529
5536579.jpg,1280,720,tan_spot,129,1,878,494
5536579.jpg,1280,720,tan_spot,1,162,471,399
5536579.jpg,1280,720,tan_spot,236,372,598,634
5536579.jpg,1280,720,tan_spot,819,209,1217,566
5536580.jpg,1280,720,tan_spot,5,208,1271,349
5536581.jpg,1280,720,tan_spot,73,194,1269,417
5536581.jpg,1280,720,tan_spot,423,454,1274,524
5536581.jpg,1280,720,tan_spot,1,542,1054,713
5536582.jpg,1280,720,tan_spot,3,202,1279,454
5536582.jpg,1280,720,tan_spot,259,126,898,236
5536583.jpg,1280,720,tan_spot,8,7,1071,133
5536583.jpg,1280,720,tan_spot,2,123,1280,358
5536583.jpg,1280,720,tan_spot,2,325,1280,458
5536583.jpg,1280,720,tan_spot,2,479,1280,601
5536584.jpg,1280,720,tan_spot,271,1,772,720
5536584.jpg,1280,720,tan_spot,779,1,1005,720
5536585.jpg,1280,720,tan_spot,2,79,1268,357
5536585.jpg,1280,720,tan_spot,2,319,1280,488
5536585.jpg,1280,720,tan_spot,2,501,1280,662
5536586.jpg,1280,720,tan_spot,475,1,813,515
5536586.jpg,1280,720,tan_spot,806,20,865,380
5536586.jpg,1280,720,tan_spot,840,191,940,584
5536587.jpg,1280,720,tan_spot,398,1,830,538
5536587.jpg,1280,720,tan_spot,836,38,975,720
5536587.jpg,1280,720,tan_spot,792,4,870,371
5536588.jpg,1280,720,tan_spot,173,3,1009,717
5536588.jpg,1280,720,tan_spot,816,16,887,484
5536588.jpg,1280,720,tan_spot,878,47,1033,532
5536590.jpg,1280,720,tan_spot,213,2,486,720
5536590.jpg,1280,720,tan_spot,494,2,733,715
5536590.jpg,1280,720,tan_spot,733,7,851,718
5536590.jpg,1280,720,tan_spot,863,1,1020,718
5536590.jpg,1280,720,tan_spot,1043,1,1174,682
5536591.jpg,1280,720,tan_spot,9,1,527,305
5536591.jpg,1280,720,tan_spot,568,146,986,476
5536591.jpg,1280,720,tan_spot,159,151,566,307
5551679.jpg,1280,720,tan_spot,684,215,857,390
5551679.jpg,1280,720,tan_spot,812,232,953,473
5551679.jpg,1280,720,tan_spot,898,3,981,278
5551679.jpg,1280,720,tan_spot,319,1,594,291
5551679.jpg,1280,720,tan_spot,132,50,295,291
5551679.jpg,1280,720,tan_spot,42,530,327,609
5551679.jpg,1280,720,tan_spot,42,611,100,717
5551679.jpg,1280,720,tan_spot,187,571,371,720
5551679.jpg,1280,720,tan_spot,502,471,922,569
5551679.jpg,1280,720,tan_spot,1077,86,1280,218
5551679.jpg,1280,720,tan_spot,1064,198,1280,299
5551679.jpg,1280,720,tan_spot,963,493,1280,596
